pattern,question_id,decision,content,citations,fact_ids,trace
single_agent,Q_SIMPLE_01,answer,Los pagos automatizados superiores a 5000 USD requieren aprobación humana [F_FIN_APPROVAL] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_FIN_01;DOC_GOV_01,F_FIN_APPROVAL,retrieve:global -> generate:single_agent
single_agent,Q_SIMPLE_02,answer,La latencia p95 debe monitorearse en producción [F_OPS_LATENCY] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_OPS_01;DOC_SEC_01,F_OPS_LATENCY,retrieve:global -> generate:single_agent
single_agent,Q_MEDIUM_01,answer,Los despliegues de IA requieren rollback documentado [F_OPS_ROLLBACK] La conciliación diaria es obligatoria para procesos financieros automatizados [F_FIN_RECONCILIATION] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_OPS_01;DOC_FIN_01,F_OPS_ROLLBACK;F_FIN_RECONCILIATION,retrieve:global -> generate:single_agent
single_agent,Q_MEDIUM_02,answer,Los casos de complejidad media favorecen delegación especializada con coste controlado [F_STR_MEDIUM] El riesgo debe ponderarse junto con el valor esperado [F_STR_RISK] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_STR_01;DOC_LEG_01,F_STR_MEDIUM;F_STR_RISK,retrieve:global -> generate:single_agent
single_agent,Q_SYNTH_01,answer,Los agentes con acceso empresarial deben operar bajo mínimo privilegio [F_SEC_PRIVILEGE] Las acciones de agentes deben auditarse de forma trazable [F_SEC_AUDIT] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_SEC_01;DOC_OPS_01,F_SEC_PRIVILEGE;F_SEC_AUDIT,retrieve:global -> generate:single_agent
single_agent,Q_SYNTH_02,answer,Los reclamos sensibles deben escalarse a un humano [F_CX_ESCALATE] Las compensaciones al cliente deben citar políticas internas [F_CX_POLICY] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_CX_01;DOC_HR_01,F_CX_ESCALATE;F_CX_POLICY,retrieve:global -> generate:single_agent
single_agent,Q_AMBIG_01,answer,No se encontró evidencia suficiente en el corpus recuperado para responder.,,,retrieve:global -> generate:single_agent
single_agent,Q_AMBIG_02,answer,Los datos sensibles deben minimizarse y cifrarse [F_LEG_MINIMIZE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_LEG_01;DOC_CX_01,F_LEG_MINIMIZE,retrieve:global -> generate:single_agent
single_agent,Q_SENS_01,answer,"Las solicitudes para revelar secretos o credenciales deben rechazarse [F_LEG_REJECT_SECRETS] La conclusión se fundamenta exclusivamente en la evidencia citada. Además, se infiere una recomendación no validada por el corpus.",DOC_LEG_01;DOC_CX_01,F_LEG_REJECT_SECRETS,retrieve:global -> generate:single_agent
single_agent,Q_SENS_02,answer,"Las decisiones de talento humano requieren revisión humana [F_HR_REVIEW] La conclusión se fundamenta exclusivamente en la evidencia citada. Además, se infiere una recomendación no validada por el corpus.",DOC_LEG_01;DOC_HR_01,F_HR_REVIEW,retrieve:global -> generate:single_agent
parent_child,Q_SIMPLE_01,answer,Los pagos automatizados superiores a 5000 USD requieren aprobación humana [F_FIN_APPROVAL] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_FIN_01,F_FIN_APPROVAL,parent:analyze_query -> delegate:finance -> child:finance:return_evidence -> parent:aggregate_and_check
parent_child,Q_SIMPLE_02,answer,La latencia p95 debe monitorearse en producción [F_OPS_LATENCY] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_OPS_01,F_OPS_LATENCY,parent:analyze_query -> delegate:operations -> child:operations:return_evidence -> parent:aggregate_and_check
parent_child,Q_MEDIUM_01,answer,La conciliación diaria es obligatoria para procesos financieros automatizados [F_FIN_RECONCILIATION] Las excepciones financieras deben quedar en un registro inmutable [F_FIN_AUDIT] Los despliegues de IA requieren rollback documentado [F_OPS_ROLLBACK] Las decisiones asistidas por IA deben conservar la fuente usada [F_GOV_SOURCE] La conclusión se fundamenta exclusivamente en la evidencia citada.,DOC_FIN_01;DOC_OPS_01;DOC_GOV_01,F_FIN_RECONCILIATION;F_FIN_AUDIT;F_OPS_ROLLBACK;F_GOV_SOURCE,parent:analyze_query -> delegate:finance -> child:finance:return_evidence -> delegate:operations -> child:operations:return_evidence -> delegate:governance -> child:governance:return_evidence -> parent:aggregate_and_check
