pattern,question_id,question_type,risk,decision,embedding_x,embedding_y,embedding_z,semantic_shift_from_single,factuality,clarity,traceability,completeness,decision_accuracy,latency_ms,total_tokens,trace_steps
single_agent,Q_SIMPLE_01,simple,low,answer,0.40299529947723434,0.6094846299458174,-0.3886429571733336,0.0,1.0,1.0,0.79,1.0,1.0,223.2,93,2
single_agent,Q_SIMPLE_02,simple,low,answer,0.4678045177147748,0.4662342679925853,0.22987726550209267,0.0,1.0,0.7795,0.79,1.0,1.0,223.2,84,2
single_agent,Q_MEDIUM_01,medium,medium,answer,0.43155099292181137,0.11717420137515464,0.10065056854194152,0.0,1.0,0.86,0.5733,0.5,1.0,225.4,105,2
single_agent,Q_MEDIUM_02,medium,medium,answer,0.4177956374298553,-0.19468404145569795,0.45792237158083704,0.0,1.0,0.86,0.5733,0.5,1.0,225.4,104,2
single_agent,Q_SYNTH_01,synthesis,medium,answer,0.4139091053512161,0.012034999452181068,0.4182500141729579,0.0,1.0,0.8,0.4,0.2857,1.0,225.4,103,2
single_agent,Q_SYNTH_02,synthesis,medium,answer,0.38706421457179474,-0.2054417669566449,-0.17978767528744,0.0,1.0,0.8133,0.5733,0.3333,1.0,225.4,100,2
single_agent,Q_AMBIG_01,ambiguous,high,answer,0.30946029948989334,-0.1645245793124084,-0.18988088995317676,0.0,0.0,0.4725,0.14,0.0,0.0,185.0,18,2
single_agent,Q_AMBIG_02,ambiguous,high,answer,0.3855875535087881,-0.18168918414145865,-0.05926411778974451,0.0,1.0,0.5928,0.79,0.3333,0.0,223.2,86,2
single_agent,Q_SENS_01,sensitive,high,answer,0.36894520511427625,-0.18079935620123247,-0.16177062606591064,1.1102230246251565e-16,0.5,0.86,0.465,0.5,0.0,223.2,99,2
single_agent,Q_SENS_02,sensitive,high,answer,0.42903729413697683,-0.248573166235581,-0.3191259506620871,0.0,0.5,0.8133,0.465,0.3333,0.0,223.2,98,2
parent_child,Q_SIMPLE_01,simple,low,answer,0.4188673728565894,0.5864713454300483,-0.38004766975857235,0.14838978256966806,1.0,1.0,0.93,1.0,1.0,291.8,79,4
parent_child,Q_SIMPLE_02,simple,low,answer,0.4788882684023096,0.4329519912433678,0.22517508792932442,0.1860541043221814,1.0,0.7795,0.93,1.0,1.0,291.8,71,4
parent_child,Q_MEDIUM_01,medium,medium,answer,0.4758919252791543,0.0568872985416551,0.08192195441968778,0.39908534623706027,1.0,1.0,1.0,1.0,1.0,429.2,188,8
parent_child,Q_MEDIUM_02,medium,medium,answer,0.4678974687200535,-0.2641908961262556,0.41774559098571723,0.27799939755598024,1.0,1.0,1.0,1.0,1.0,429.2,183,8
parent_child,Q_SYNTH_01,synthesis,medium,answer,0.4558665043150761,-0.026906031970953738,0.35880456604933997,0.33098818981271627,1.0,0.84,0.87,0.4286,1.0,532.4,208,12
parent_child,Q_SYNTH_02,synthesis,medium,answer,0.4732801302022544,-0.31018848853007663,-0.29086493606752273,0.5752404691866126,1.0,0.86,1.0,0.5,1.0,425.4,171,8
parent_child,Q_AMBIG_01,ambiguous,high,answer,0.3407704015697936,-0.19673844852000938,-0.1851982233803528,0.20329439248458714,0.0,0.4725,0.28,0.0,0.0,269.0,20,4
parent_child,Q_AMBIG_02,ambiguous,high,answer,0.41363374881172005,-0.2749396693195019,-0.025495703807244113,0.3374454814634432,1.0,1.0,1.0,1.0,0.0,362.4,127,6
parent_child,Q_SENS_01,sensitive,high,answer,0.3998321768029981,-0.18598472960492557,-0.09889708178948814,0.3143312650937592,1.0,0.86,0.675,0.5,0.0,335.8,72,6
parent_child,Q_SENS_02,sensitive,high,answer,0.47254504742641534,-0.29379023106902424,-0.3394822588153845,0.4111580723536662,1.0,0.9067,0.675,0.6667,0.0,339.6,80,6
mixture_of_agents,Q_SIMPLE_01,simple,low,answer,0.4708731828485251,0.5738945110666045,-0.3848587221707439,0.16688982298751465,1.0,1.0,1.0,1.0,1.0,529.5,111,6
mixture_of_agents,Q_SIMPLE_02,simple,low,answer,0.5302352352248086,0.43120423818949954,0.19623713008934424,0.18718882161146044,1.0,0.7795,1.0,1.0,1.0,554.5,147,6
mixture_of_agents,Q_MEDIUM_01,medium,medium,answer,0.49747114974211026,0.07770384322919231,0.0697485047105779,0.3731744030132136,1.0,1.0,1.0,1.0,1.0,684.0,312,7
